Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles,year,month,numeric_date,county_encoded,months_since_start,ev_total_lag1,ev_total_lag2,ev_total_lag3,ev_total_roll_mean_3,ev_total_pct_change_1,ev_total_pct_change_3,cumulative_ev,ev_growth_slope
2018-05-31,Ada,ID,Passenger,0.0,2.0,2.0,341.0,343.0,0.58,2018,5,24221,0,5,2.0,2.0,2.0,2.0,0.0,0.0,10.0,1.8571428571428572
2018-06-30,Ada,ID,Passenger,0.0,2.0,2.0,332.0,334.0,0.6,2018,6,24222,0,6,2.0,2.0,2.0,2.0,0.0,0.0,12.0,2.0000000000000004
2018-07-31,Ada,ID,Passenger,0.0,2.0,2.0,329.0,331.0,0.6,2018,7,24223,0,7,2.0,2.0,2.0,2.0,0.0,0.0,14.0,2.0
2018-08-31,Ada,ID,Passenger,0.0,2.0,2.0,325.0,327.0,0.61,2018,8,24224,0,8,2.0,2.0,2.0,2.0,0.0,0.0,16.0,2.0
2018-09-30,Ada,ID,Passenger,0.0,2.0,2.0,327.0,329.0,0.61,2018,9,24225,0,9,2.0,2.0,2.0,2.0,0.0,0.0,18.0,2.0000000000000004
2018-10-31,Ada,ID,Passenger,0.0,2.0,2.0,326.0,328.0,0.61,2018,10,24226,0,10,2.0,2.0,2.0,2.0,0.0,0.0,20.0,1.9999999999999996
2018-11-30,Ada,ID,Passenger,0.0,2.0,2.0,325.0,327.0,0.61,2018,11,24227,0,11,2.0,2.0,2.0,2.0,0.0,0.0,22.0,2.0
2018-12-31,Ada,ID,Passenger,0.0,2.0,2.0,324.0,326.0,0.61,2018,12,24228,0,12,2.0,2.0,2.0,2.0,0.0,0.0,24.0,1.9999999999999996
2019-01-31,Ada,ID,Passenger,0.0,2.0,2.0,322.0,324.0,0.62,2019,1,24229,0,13,2.0,2.0,2.0,2.0,0.0,0.0,26.0,2.0
2019-02-28,Ada,ID,Passenger,0.0,2.0,2.0,320.0,322.0,0.62,2019,2,24230,0,14,2.0,2.0,2.0,2.0,0.0,0.0,28.0,1.9999999999999984
2019-03-31,Ada,ID,Passenger,0.0,2.0,2.0,321.0,323.0,0.62,2019,3,24231,0,15,2.0,2.0,2.0,2.0,0.0,0.0,30.0,1.9999999999999991
2019-04-30,Ada,ID,Passenger,0.0,2.0,2.0,322.0,324.0,0.62,2019,4,24232,0,16,2.0,2.0,2.0,2.0,0.0,0.0,32.0,1.999999999999998
2019-05-31,Ada,ID,Passenger,0.0,2.0,2.0,323.0,325.0,0.62,2019,5,24233,0,17,2.0,2.0,2.0,2.0,0.0,0.0,34.0,1.999999999999996
2019-06-30,Ada,ID,Passenger,0.0,2.0,2.0,321.0,323.0,0.62,2019,6,24234,0,18,2.0,2.0,2.0,2.0,0.0,0.0,36.0,1.9999999999999996
2019-07-31,Ada,ID,Passenger,0.0,2.0,2.0,319.0,321.0,0.62,2019,7,24235,0,19,2.0,2.0,2.0,2.0,0.0,0.0,38.0,1.9999999999999964
2019-08-31,Ada,ID,Passenger,0.0,2.0,2.0,318.0,320.0,0.62,2019,8,24236,0,20,2.0,2.0,2.0,2.0,0.0,0.0,40.0,1.999999999999996
2019-09-30,Ada,ID,Passenger,0.0,2.0,2.0,315.0,317.0,0.63,2019,9,24237,0,21,2.0,2.0,2.0,2.0,0.0,0.0,42.0,1.999999999999998
2019-10-31,Ada,ID,Passenger,0.0,2.0,2.0,312.0,314.0,0.64,2019,10,24238,0,22,2.0,2.0,2.0,2.0,0.0,0.0,44.0,1.999999999999996
